Dato,Klokkeslett,Sted,Latitude,Longitude,Antall_ledige_plasser
27.10.2020,21:10,Jernbanen,58.966341,5.732047,335
27.10.2020,21:10,Valberget,58.9721884,5.7299647,74
27.10.2020,21:10,Posten,58.969721,5.729923,126
27.10.2020,21:10,Jorenholmen,58.971964,5.736688,419
27.10.2020,21:10,St Olav,58.966764,5.730807,347
27.10.2020,21:10,Siddis,58.954126,5.694017,280
27.10.2020,21:10,Forum,58.9523279,5.7046637,348
27.10.2020,21:10,Kyrre,58.969491,5.726946,162
27.10.2020,21:10,Parketten,58.975601,5.721537,434
27.10.2020,21:14,Jernbanen,58.966341,5.732047,336
27.10.2020,21:14,Valberget,58.9721884,5.7299647,76
27.10.2020,21:14,Posten,58.969721,5.729923,126
27.10.2020,21:14,Jorenholmen,58.971964,5.736688,420
27.10.2020,21:14,St Olav,58.966764,5.730807,349
27.10.2020,21:14,Siddis,58.954126,5.694017,280
27.10.2020,21:14,Forum,58.9523279,5.7046637,349
27.10.2020,21:14,Kyrre,58.969491,5.726946,162
27.10.2020,21:14,Parketten,58.975601,5.721537,435
27.10.2020,21:18,Jernbanen,58.966341,5.732047,338
27.10.2020,21:18,Valberget,58.9721884,5.7299647,80
27.10.2020,21:18,Posten,58.969721,5.729923,126
27.10.2020,21:18,Jorenholmen,58.971964,5.736688,422
27.10.2020,21:18,St Olav,58.966764,5.730807,349
27.10.2020,21:18,Siddis,58.954126,5.694017,280
27.10.2020,21:18,Forum,58.9523279,5.7046637,350
27.10.2020,21:18,Kyrre,58.969491,5.726946,162
27.10.2020,21:18,Parketten,58.975601,5.721537,435
27.10.2020,21:22,Jernbanen,58.966341,5.732047,339
27.10.2020,21:22,Valberget,58.9721884,5.7299647,81
27.10.2020,21:22,Posten,58.969721,5.729923,132
27.10.2020,21:22,Jorenholmen,58.971964,5.736688,422
27.10.2020,21:22,St Olav,58.966764,5.730807,347
27.10.2020,21:22,Siddis,58.954126,5.694017,280
27.10.2020,21:22,Forum,58.9523279,5.7046637,354
27.10.2020,21:22,Kyrre,58.969491,5.726946,162
27.10.2020,21:22,Parketten,58.975601,5.721537,437
27.10.2020,21:26,Jernbanen,58.966341,5.732047,339
27.10.2020,21:26,Valberget,58.9721884,5.7299647,82
27.10.2020,21:26,Posten,58.969721,5.729923,134
27.10.2020,21:26,Jorenholmen,58.971964,5.736688,422
27.10.2020,21:26,St Olav,58.966764,5.730807,345
27.10.2020,21:26,Siddis,58.954126,5.694017,280
27.10.2020,21:26,Forum,58.9523279,5.7046637,356
27.10.2020,21:26,Kyrre,58.969491,5.726946,162
27.10.2020,21:26,Parketten,58.975601,5.721537,438
27.10.2020,21:30,Jernbanen,58.966341,5.732047,339
27.10.2020,21:30,Valberget,58.9721884,5.7299647,83
27.10.2020,21:30,Posten,58.969721,5.729923,134
27.10.2020,21:30,Jorenholmen,58.971964,5.736688,424
27.10.2020,21:30,St Olav,58.966764,5.730807,345
27.10.2020,21:30,Siddis,58.954126,5.694017,280
27.10.2020,21:30,Forum,58.9523279,5.7046637,356
27.10.2020,21:30,Kyrre,58.969491,5.726946,162
27.10.2020,21:30,Parketten,58.975601,5.721537,438
