Dato,Klokkeslett,Sted,Latitude,Longitude,Antall_ledige_plasser
21.11.2020,23:56,Jernbanen,58.966341,5.732047,335
21.11.2020,23:56,Valberget,58.9721884,5.7299647,117
21.11.2020,23:56,Posten,58.969721,5.729923,147
21.11.2020,23:56,Jorenholmen,58.971964,5.736688,432
21.11.2020,23:56,St Olav,58.966764,5.730807,347
21.11.2020,23:56,Siddis,58.954126,5.694017,320
21.11.2020,23:56,Forum,58.9523279,5.7046637,775
21.11.2020,23:56,Kyrre,58.969491,5.726946,246
21.11.2020,23:56,Parketten,58.975601,5.721537,647
22.11.2020,00:00,Jernbanen,58.966341,5.732047,333
22.11.2020,00:00,Valberget,58.9721884,5.7299647,117
22.11.2020,00:00,Posten,58.969721,5.729923,147
22.11.2020,00:00,Jorenholmen,58.971964,5.736688,432
22.11.2020,00:00,St Olav,58.966764,5.730807,348
22.11.2020,00:00,Siddis,58.954126,5.694017,320
22.11.2020,00:00,Forum,58.9523279,5.7046637,775
22.11.2020,00:00,Kyrre,58.969491,5.726946,246
22.11.2020,00:00,Parketten,58.975601,5.721537,647
22.11.2020,00:04,Jernbanen,58.966341,5.732047,333
22.11.2020,00:04,Valberget,58.9721884,5.7299647,117
22.11.2020,00:04,Posten,58.969721,5.729923,147
22.11.2020,00:04,Jorenholmen,58.971964,5.736688,432
22.11.2020,00:04,St Olav,58.966764,5.730807,348
22.11.2020,00:04,Siddis,58.954126,5.694017,320
22.11.2020,00:04,Forum,58.9523279,5.7046637,775
22.11.2020,00:04,Kyrre,58.969491,5.726946,246
22.11.2020,00:04,Parketten,58.975601,5.721537,647
22.11.2020,00:08,Jernbanen,58.966341,5.732047,333
22.11.2020,00:08,Valberget,58.9721884,5.7299647,117
22.11.2020,00:08,Posten,58.969721,5.729923,147
22.11.2020,00:08,Jorenholmen,58.971964,5.736688,432
22.11.2020,00:08,St Olav,58.966764,5.730807,348
22.11.2020,00:08,Siddis,58.954126,5.694017,320
22.11.2020,00:08,Forum,58.9523279,5.7046637,775
22.11.2020,00:08,Kyrre,58.969491,5.726946,246
22.11.2020,00:08,Parketten,58.975601,5.721537,647
22.11.2020,00:12,Jernbanen,58.966341,5.732047,333
22.11.2020,00:12,Valberget,58.9721884,5.7299647,118
22.11.2020,00:12,Posten,58.969721,5.729923,147
22.11.2020,00:12,Jorenholmen,58.971964,5.736688,433
22.11.2020,00:12,St Olav,58.966764,5.730807,347
22.11.2020,00:12,Siddis,58.954126,5.694017,320
22.11.2020,00:12,Forum,58.9523279,5.7046637,775
22.11.2020,00:12,Kyrre,58.969491,5.726946,246
22.11.2020,00:12,Parketten,58.975601,5.721537,647
22.11.2020,00:16,Jernbanen,58.966341,5.732047,333
22.11.2020,00:16,Valberget,58.9721884,5.7299647,118
22.11.2020,00:16,Posten,58.969721,5.729923,147
22.11.2020,00:16,Jorenholmen,58.971964,5.736688,433
22.11.2020,00:16,St Olav,58.966764,5.730807,347
22.11.2020,00:16,Siddis,58.954126,5.694017,320
22.11.2020,00:16,Forum,58.9523279,5.7046637,775
22.11.2020,00:16,Kyrre,58.969491,5.726946,246
22.11.2020,00:16,Parketten,58.975601,5.721537,647
22.11.2020,00:18,Jernbanen,58.966341,5.732047,333
22.11.2020,00:18,Valberget,58.9721884,5.7299647,118
22.11.2020,00:18,Posten,58.969721,5.729923,147
22.11.2020,00:18,Jorenholmen,58.971964,5.736688,434
22.11.2020,00:18,St Olav,58.966764,5.730807,347
22.11.2020,00:18,Siddis,58.954126,5.694017,320
22.11.2020,00:18,Forum,58.9523279,5.7046637,775
22.11.2020,00:18,Kyrre,58.969491,5.726946,246
22.11.2020,00:18,Parketten,58.975601,5.721537,647
22.11.2020,00:24,Jernbanen,58.966341,5.732047,333
22.11.2020,00:24,Valberget,58.9721884,5.7299647,118
22.11.2020,00:24,Posten,58.969721,5.729923,147
22.11.2020,00:24,Jorenholmen,58.971964,5.736688,435
22.11.2020,00:24,St Olav,58.966764,5.730807,348
22.11.2020,00:24,Siddis,58.954126,5.694017,320
22.11.2020,00:24,Forum,58.9523279,5.7046637,775
22.11.2020,00:24,Kyrre,58.969491,5.726946,246
22.11.2020,00:24,Parketten,58.975601,5.721537,647
22.11.2020,00:28,Jernbanen,58.966341,5.732047,333
22.11.2020,00:28,Valberget,58.9721884,5.7299647,118
22.11.2020,00:28,Posten,58.969721,5.729923,147
22.11.2020,00:28,Jorenholmen,58.971964,5.736688,436
22.11.2020,00:28,St Olav,58.966764,5.730807,348
22.11.2020,00:28,Siddis,58.954126,5.694017,320
22.11.2020,00:28,Forum,58.9523279,5.7046637,775
22.11.2020,00:28,Kyrre,58.969491,5.726946,246
22.11.2020,00:28,Parketten,58.975601,5.721537,647
22.11.2020,00:32,Jernbanen,58.966341,5.732047,333
22.11.2020,00:32,Valberget,58.9721884,5.7299647,118
22.11.2020,00:32,Posten,58.969721,5.729923,147
22.11.2020,00:32,Jorenholmen,58.971964,5.736688,435
22.11.2020,00:32,St Olav,58.966764,5.730807,348
22.11.2020,00:32,Siddis,58.954126,5.694017,320
22.11.2020,00:32,Forum,58.9523279,5.7046637,775
22.11.2020,00:32,Kyrre,58.969491,5.726946,246
22.11.2020,00:32,Parketten,58.975601,5.721537,647
22.11.2020,00:34,Jernbanen,58.966341,5.732047,333
22.11.2020,00:34,Valberget,58.9721884,5.7299647,118
22.11.2020,00:34,Posten,58.969721,5.729923,147
22.11.2020,00:34,Jorenholmen,58.971964,5.736688,435
22.11.2020,00:34,St Olav,58.966764,5.730807,348
22.11.2020,00:34,Siddis,58.954126,5.694017,320
22.11.2020,00:34,Forum,58.9523279,5.7046637,775
22.11.2020,00:34,Kyrre,58.969491,5.726946,246
22.11.2020,00:34,Parketten,58.975601,5.721537,647
22.11.2020,00:42,Jernbanen,58.966341,5.732047,333
22.11.2020,00:42,Valberget,58.9721884,5.7299647,118
22.11.2020,00:42,Posten,58.969721,5.729923,148
22.11.2020,00:42,Jorenholmen,58.971964,5.736688,437
22.11.2020,00:42,St Olav,58.966764,5.730807,348
22.11.2020,00:42,Siddis,58.954126,5.694017,320
22.11.2020,00:42,Forum,58.9523279,5.7046637,775
22.11.2020,00:42,Kyrre,58.969491,5.726946,246
22.11.2020,00:42,Parketten,58.975601,5.721537,647
22.11.2020,00:44,Jernbanen,58.966341,5.732047,333
22.11.2020,00:44,Valberget,58.9721884,5.7299647,118
22.11.2020,00:44,Posten,58.969721,5.729923,148
22.11.2020,00:44,Jorenholmen,58.971964,5.736688,437
22.11.2020,00:44,St Olav,58.966764,5.730807,348
22.11.2020,00:44,Siddis,58.954126,5.694017,320
22.11.2020,00:44,Forum,58.9523279,5.7046637,775
22.11.2020,00:44,Kyrre,58.969491,5.726946,246
22.11.2020,00:44,Parketten,58.975601,5.721537,647
22.11.2020,00:46,Jernbanen,58.966341,5.732047,333
22.11.2020,00:46,Valberget,58.9721884,5.7299647,118
22.11.2020,00:46,Posten,58.969721,5.729923,148
22.11.2020,00:46,Jorenholmen,58.971964,5.736688,437
22.11.2020,00:46,St Olav,58.966764,5.730807,348
22.11.2020,00:46,Siddis,58.954126,5.694017,320
22.11.2020,00:46,Forum,58.9523279,5.7046637,775
22.11.2020,00:46,Kyrre,58.969491,5.726946,246
22.11.2020,00:46,Parketten,58.975601,5.721537,647
22.11.2020,00:52,Jernbanen,58.966341,5.732047,334
22.11.2020,00:52,Valberget,58.9721884,5.7299647,116
22.11.2020,00:52,Posten,58.969721,5.729923,148
22.11.2020,00:52,Jorenholmen,58.971964,5.736688,437
22.11.2020,00:52,St Olav,58.966764,5.730807,348
22.11.2020,00:52,Siddis,58.954126,5.694017,320
22.11.2020,00:52,Forum,58.9523279,5.7046637,775
22.11.2020,00:52,Kyrre,58.969491,5.726946,246
22.11.2020,00:52,Parketten,58.975601,5.721537,647
22.11.2020,00:56,Jernbanen,58.966341,5.732047,335
22.11.2020,00:56,Valberget,58.9721884,5.7299647,117
22.11.2020,00:56,Posten,58.969721,5.729923,148
22.11.2020,00:56,Jorenholmen,58.971964,5.736688,437
22.11.2020,00:56,St Olav,58.966764,5.730807,348
22.11.2020,00:56,Siddis,58.954126,5.694017,320
22.11.2020,00:56,Forum,58.9523279,5.7046637,775
22.11.2020,00:56,Kyrre,58.969491,5.726946,246
22.11.2020,00:56,Parketten,58.975601,5.721537,647
22.11.2020,01:00,Jernbanen,58.966341,5.732047,336
22.11.2020,01:00,Valberget,58.9721884,5.7299647,117
22.11.2020,01:00,Posten,58.969721,5.729923,148
22.11.2020,01:00,Jorenholmen,58.971964,5.736688,437
22.11.2020,01:00,St Olav,58.966764,5.730807,348
22.11.2020,01:00,Siddis,58.954126,5.694017,320
22.11.2020,01:00,Forum,58.9523279,5.7046637,775
22.11.2020,01:00,Kyrre,58.969491,5.726946,245
22.11.2020,01:00,Parketten,58.975601,5.721537,647
22.11.2020,01:04,Jernbanen,58.966341,5.732047,336
22.11.2020,01:04,Valberget,58.9721884,5.7299647,117
22.11.2020,01:04,Posten,58.969721,5.729923,148
22.11.2020,01:04,Jorenholmen,58.971964,5.736688,437
22.11.2020,01:04,St Olav,58.966764,5.730807,348
22.11.2020,01:04,Siddis,58.954126,5.694017,320
22.11.2020,01:04,Forum,58.9523279,5.7046637,775
22.11.2020,01:04,Kyrre,58.969491,5.726946,245
22.11.2020,01:04,Parketten,58.975601,5.721537,647
