Dato,Klokkeslett,Sted,Latitude,Longitude,Antall_ledige_plasser
25.11.2020,17:52,Jernbanen,58.966341,5.732047,275
25.11.2020,17:52,Valberget,58.9721884,5.7299647,71
25.11.2020,17:52,Posten,58.969721,5.729923,148
25.11.2020,17:52,Jorenholmen,58.971964,5.736688,355
25.11.2020,17:52,St Olav,58.966764,5.730807,387
25.11.2020,17:52,Siddis,58.954126,5.694017,320
25.11.2020,17:52,Forum,58.9523279,5.7046637,110
25.11.2020,17:52,Kyrre,58.969491,5.726946,262
25.11.2020,17:52,Parketten,58.975601,5.721537,132
25.11.2020,17:56,Jernbanen,58.966341,5.732047,277
25.11.2020,17:56,Valberget,58.9721884,5.7299647,75
25.11.2020,17:56,Posten,58.969721,5.729923,148
25.11.2020,17:56,Jorenholmen,58.971964,5.736688,355
25.11.2020,17:56,St Olav,58.966764,5.730807,387
25.11.2020,17:56,Siddis,58.954126,5.694017,320
25.11.2020,17:56,Forum,58.9523279,5.7046637,113
25.11.2020,17:56,Kyrre,58.969491,5.726946,262
25.11.2020,17:56,Parketten,58.975601,5.721537,133
25.11.2020,18:00,Jernbanen,58.966341,5.732047,277
25.11.2020,18:00,Valberget,58.9721884,5.7299647,74
25.11.2020,18:00,Posten,58.969721,5.729923,148
25.11.2020,18:00,Jorenholmen,58.971964,5.736688,353
25.11.2020,18:00,St Olav,58.966764,5.730807,386
25.11.2020,18:00,Siddis,58.954126,5.694017,320
25.11.2020,18:00,Forum,58.9523279,5.7046637,113
25.11.2020,18:00,Kyrre,58.969491,5.726946,263
25.11.2020,18:00,Parketten,58.975601,5.721537,133
25.11.2020,18:04,Jernbanen,58.966341,5.732047,276
25.11.2020,18:04,Valberget,58.9721884,5.7299647,74
25.11.2020,18:04,Posten,58.969721,5.729923,147
25.11.2020,18:04,Jorenholmen,58.971964,5.736688,357
25.11.2020,18:04,St Olav,58.966764,5.730807,385
25.11.2020,18:04,Siddis,58.954126,5.694017,320
25.11.2020,18:04,Forum,58.9523279,5.7046637,115
25.11.2020,18:04,Kyrre,58.969491,5.726946,262
25.11.2020,18:04,Parketten,58.975601,5.721537,136
25.11.2020,18:08,Jernbanen,58.966341,5.732047,277
25.11.2020,18:08,Valberget,58.9721884,5.7299647,72
25.11.2020,18:08,Posten,58.969721,5.729923,149
25.11.2020,18:08,Jorenholmen,58.971964,5.736688,355
25.11.2020,18:08,St Olav,58.966764,5.730807,386
25.11.2020,18:08,Siddis,58.954126,5.694017,320
25.11.2020,18:08,Forum,58.9523279,5.7046637,115
25.11.2020,18:08,Kyrre,58.969491,5.726946,263
25.11.2020,18:08,Parketten,58.975601,5.721537,137
25.11.2020,18:12,Jernbanen,58.966341,5.732047,281
25.11.2020,18:12,Valberget,58.9721884,5.7299647,74
25.11.2020,18:12,Posten,58.969721,5.729923,150
25.11.2020,18:12,Jorenholmen,58.971964,5.736688,357
25.11.2020,18:12,St Olav,58.966764,5.730807,385
25.11.2020,18:12,Siddis,58.954126,5.694017,320
25.11.2020,18:12,Forum,58.9523279,5.7046637,116
25.11.2020,18:12,Kyrre,58.969491,5.726946,264
25.11.2020,18:12,Parketten,58.975601,5.721537,138
25.11.2020,18:16,Jernbanen,58.966341,5.732047,284
25.11.2020,18:16,Valberget,58.9721884,5.7299647,74
25.11.2020,18:16,Posten,58.969721,5.729923,150
25.11.2020,18:16,Jorenholmen,58.971964,5.736688,360
25.11.2020,18:16,St Olav,58.966764,5.730807,386
25.11.2020,18:16,Siddis,58.954126,5.694017,320
25.11.2020,18:16,Forum,58.9523279,5.7046637,118
25.11.2020,18:16,Kyrre,58.969491,5.726946,266
25.11.2020,18:16,Parketten,58.975601,5.721537,139
25.11.2020,18:20,Jernbanen,58.966341,5.732047,288
25.11.2020,18:20,Valberget,58.9721884,5.7299647,68
25.11.2020,18:20,Posten,58.969721,5.729923,151
25.11.2020,18:20,Jorenholmen,58.971964,5.736688,361
25.11.2020,18:20,St Olav,58.966764,5.730807,386
25.11.2020,18:20,Siddis,58.954126,5.694017,320
25.11.2020,18:20,Forum,58.9523279,5.7046637,121
25.11.2020,18:20,Kyrre,58.969491,5.726946,267
25.11.2020,18:20,Parketten,58.975601,5.721537,139
25.11.2020,18:24,Jernbanen,58.966341,5.732047,289
25.11.2020,18:24,Valberget,58.9721884,5.7299647,65
25.11.2020,18:24,Posten,58.969721,5.729923,151
25.11.2020,18:24,Jorenholmen,58.971964,5.736688,366
25.11.2020,18:24,St Olav,58.966764,5.730807,385
25.11.2020,18:24,Siddis,58.954126,5.694017,320
25.11.2020,18:24,Forum,58.9523279,5.7046637,124
25.11.2020,18:24,Kyrre,58.969491,5.726946,268
25.11.2020,18:24,Parketten,58.975601,5.721537,139
25.11.2020,18:28,Jernbanen,58.966341,5.732047,286
25.11.2020,18:28,Valberget,58.9721884,5.7299647,61
25.11.2020,18:28,Posten,58.969721,5.729923,150
25.11.2020,18:28,Jorenholmen,58.971964,5.736688,366
25.11.2020,18:28,St Olav,58.966764,5.730807,385
25.11.2020,18:28,Siddis,58.954126,5.694017,320
25.11.2020,18:28,Forum,58.9523279,5.7046637,125
25.11.2020,18:28,Kyrre,58.969491,5.726946,268
25.11.2020,18:28,Parketten,58.975601,5.721537,139
25.11.2020,18:32,Jernbanen,58.966341,5.732047,293
25.11.2020,18:32,Valberget,58.9721884,5.7299647,60
25.11.2020,18:32,Posten,58.969721,5.729923,149
25.11.2020,18:32,Jorenholmen,58.971964,5.736688,369
25.11.2020,18:32,St Olav,58.966764,5.730807,384
25.11.2020,18:32,Siddis,58.954126,5.694017,320
